step,samples_seen,p_grid_relative_l2,p_area_relative_l2,p_rmse,p_relative_linf,latent_relative_l2,outer_dirichlet_max_abs,inner_flux_relative_l2,elapsed_seconds
1,640,22.363317489624023,26.341968536376953,1.0606533288955688,14.783382415771484,29.419790267944336,0.0,5.747206211090088,86.13493560347706
1000,640000,0.4117298126220703,0.48270970582962036,0.019527630880475044,0.2188456803560257,0.827551543712616,0.0,0.2341420203447342,799.1216529458761
2000,1280000,0.28378531336784363,0.353731244802475,0.013459445908665657,0.19838330149650574,0.5631449222564697,0.0,0.24704813957214355,1514.0748036568984
3000,1920000,0.4228077530860901,0.5228855609893799,0.020053038373589516,0.28271546959877014,0.8155157566070557,0.0,0.18081419169902802,2228.2582040810958
4000,2560000,0.20487500727176666,0.26320284605026245,0.009716866537928581,0.15552043914794922,0.6692566871643066,0.0,0.22540190815925598,2942.238793408498
5000,3200000,0.28844332695007324,0.3407905399799347,0.013680368661880493,0.17204084992408752,0.4390234053134918,0.0,0.20900769531726837,3656.21407884825
6000,3840000,0.10325934737920761,0.1313386857509613,0.004897411912679672,0.07608477771282196,0.30986613035202026,0.0,0.17589794099330902,4368.9603944392875
7000,4480000,0.14911200106143951,0.19119691848754883,0.007072123698890209,0.12206675112247467,0.3431542217731476,0.0,0.17485807836055756,5083.08997599408
8000,5120000,0.1423386186361313,0.16783368587493896,0.006750873755663633,0.09750383347272873,0.29926741123199463,0.0,0.20515060424804688,5794.489054418169
9000,5760000,0.2044992744922638,0.2541933059692383,0.009699046611785889,0.15462332963943481,0.365195631980896,0.0,0.18390542268753052,6506.585520455614
10000,6400000,0.25128400325775146,0.3045181930065155,0.011917965486645699,0.16607655584812164,0.3620834946632385,0.0,0.16659089922904968,7218.642179727554
11000,7040000,0.22272485494613647,0.270775705575943,0.01056345459073782,0.19862228631973267,0.48353686928749084,0.0,0.3485162854194641,7930.334916736931
12000,7680000,0.16492150723934174,0.20352068543434143,0.007821941748261452,0.11380515247583389,0.34425032138824463,0.0,0.22627407312393188,8642.528030562215
13000,8320000,0.18899711966514587,0.229950413107872,0.008963806554675102,0.14350852370262146,0.45765984058380127,0.0,0.21625196933746338,9354.66723933164
14000,8960000,0.10830144584178925,0.13388261198997498,0.005136549938470125,0.08961347490549088,0.27360329031944275,0.0,0.18786190450191498,10068.903595988639
15000,9600000,0.182326078414917,0.22424493730068207,0.008647410199046135,0.10874442011117935,0.404449999332428,0.0,0.17692528665065765,10779.842559067532
16000,10240000,0.14215393364429474,0.1874924600124359,0.006742115598171949,0.11348424851894379,0.3822905719280243,0.0,0.19740761816501617,11492.18013215065
17000,10880000,0.1319197714328766,0.15717986226081848,0.006256726570427418,0.09854114800691605,0.3494802713394165,0.0,0.1753971427679062,12204.080253810622
18000,11520000,0.1547807902097702,0.1835675835609436,0.007340984884649515,0.10771241039037704,0.283980131149292,0.0,0.18119770288467407,12916.02104801964
19000,12160000,0.14314141869544983,0.17304031550884247,0.006788949947804213,0.09638042002916336,0.31010371446609497,0.0,0.17746266722679138,13627.895205983892
20000,12800000,0.17063604295253754,0.19679929316043854,0.00809297151863575,0.1014651358127594,0.32432541251182556,0.0,0.1795772761106491,14339.395262149163
21000,13440000,0.23445767164230347,0.2769361138343811,0.011119921691715717,0.194644033908844,0.3833930194377899,0.0,0.1907239854335785,15052.645724723116
22000,14080000,0.10693519562482834,0.12216626852750778,0.005071750842034817,0.09580924361944199,0.18228742480278015,0.0,0.18411047756671906,15764.348666076548
23000,14720000,0.17174462974071503,0.21880127489566803,0.008145551197230816,0.12000590562820435,0.38253915309906006,0.0,0.20289352536201477,16476.13700616546
24000,15360000,0.19129104912281036,0.23486201465129852,0.009072603657841682,0.16837750375270844,0.42877233028411865,0.0,0.26213815808296204,17188.531007825397
25000,16000000,0.09501898288726807,0.12544678151607513,0.004506586119532585,0.058528926223516464,0.2571086287498474,0.0,0.16942156851291656,17899.974988222122
26000,16640000,0.11614300310611725,0.14414283633232117,0.005508461967110634,0.0798477903008461,0.2584594786167145,0.0,0.17490366101264954,18612.03150957916
27000,17280000,0.101058728992939,0.1224137544631958,0.004793040454387665,0.08400976657867432,0.17354802787303925,0.0,0.1752091944217682,19325.07910509687
28000,17920000,0.09489460289478302,0.11436909437179565,0.004500686656683683,0.060417626053094864,0.2348756641149521,0.0,0.17474998533725739,20038.51935151592
29000,18560000,0.062060266733169556,0.08210332691669464,0.00294341123662889,0.054071955382823944,0.19632841646671295,0.0,0.18162637948989868,20750.500176743604
30000,19200000,0.19586478173732758,0.24081315100193024,0.009289528243243694,0.11680380254983902,0.3327357769012451,0.0,0.18141160905361176,21462.451753327623
31000,19840000,0.08079978078603745,0.10088834911584854,0.003832194022834301,0.06117389351129532,0.2236793041229248,0.0,0.1780877262353897,22174.718272663653
32000,20480000,0.13215839862823486,0.1656855046749115,0.006268044468015432,0.09662439674139023,0.29287266731262207,0.0,0.20705454051494598,22886.543686238118
33000,21120000,0.14456725120544434,0.1845288723707199,0.006856574211269617,0.09732134640216827,0.27688443660736084,0.0,0.18179315328598022,23598.642261525616
34000,21760000,0.14904338121414185,0.18839384615421295,0.007068869657814503,0.10573483258485794,0.3113919794559479,0.0,0.17244628071784973,24312.72244948242
35000,22400000,0.08472350239753723,0.1095646396279335,0.004018289037048817,0.06502708047628403,0.2085147351026535,0.0,0.17888714373111725,25026.982512237504
36000,23040000,0.07318707555532455,0.09878172725439072,0.003471136325970292,0.06338319927453995,0.18925000727176666,0.0,0.1801736056804657,25739.00454590842
37000,23680000,0.20514875650405884,0.2530142366886139,0.00972985103726387,0.12089136242866516,0.36286473274230957,0.0,0.16347065567970276,26451.258018424734
38000,24320000,0.11262058466672897,0.1296054571866989,0.00534139946103096,0.0765058621764183,0.19279608130455017,0.0,0.1753942370414734,27162.9105674671
39000,24960000,0.06531363725662231,0.08127329498529434,0.0030977127607911825,0.03844526410102844,0.14990851283073425,0.0,0.17874197661876678,27875.279374365695
40000,25600000,0.11516445875167847,0.1344997137784958,0.005462050903588533,0.07157064229249954,0.1915871798992157,0.0,0.19126401841640472,28587.44100384228
41000,26240000,0.12903530895709991,0.16241973638534546,0.006119921337813139,0.0988389253616333,0.23753029108047485,0.0,0.17296059429645538,29300.473800556734
42000,26880000,0.10097021609544754,0.13127769529819489,0.0047888425178825855,0.07633379846811295,0.29540714621543884,0.0,0.18044547736644745,30015.70365943387
43000,27520000,0.039764080196619034,0.05272569879889488,0.001885941601358354,0.028125284239649773,0.12037142366170883,0.0,0.1805594563484192,30727.718573038466
44000,28160000,0.048609379678964615,0.05920248106122017,0.002305458765476942,0.031186435371637344,0.14265161752700806,0.0,0.1649830937385559,31439.630686187185
45000,28800000,0.04787532612681389,0.05657472461462021,0.0022706438321620226,0.037425555288791656,0.11119794100522995,0.0,0.17429177463054657,32151.03526330553
46000,29440000,0.06359534710645676,0.07805581390857697,0.0030162171460688114,0.038266316056251526,0.15033963322639465,0.0,0.1721782088279724,32862.96754502319
47000,30080000,0.12137486040592194,0.13704708218574524,0.0057565998286008835,0.10150611400604248,0.24574550986289978,0.0,0.17018137872219086,33575.021040474065
48000,30720000,0.06214114651083946,0.08031831681728363,0.0029472471214830875,0.04248075187206268,0.1450953185558319,0.0,0.17619022727012634,34286.3171489276
49000,31360000,0.08420705050230026,0.10806948691606522,0.003993794787675142,0.06718996167182922,0.19666056334972382,0.0,0.18006150424480438,34999.75703478325
50000,32000000,0.10936196893453598,0.1349441409111023,0.005186849273741245,0.06587372720241547,0.1675233095884323,0.0,0.17583398520946503,35711.58823865373
51000,32640000,0.7823220491409302,0.8862916231155396,0.037104181945323944,0.7405633330345154,1.2479133605957031,0.0,0.3380640745162964,36423.4055122463
52000,33280000,0.05541495978832245,0.07174225896596909,0.0026282356120646,0.04201771691441536,0.19504548609256744,0.0,0.17976006865501404,37134.6497082524
53000,33920000,0.08670789003372192,0.10884805768728256,0.004112405236810446,0.06692913174629211,0.1714078038930893,0.0,0.1733182817697525,37846.03212807421
54000,34560000,0.07585575431585312,0.09397739171981812,0.0035977070219814777,0.05289190635085106,0.1709699183702469,0.0,0.17510457336902618,38557.75176347606
55000,35200000,0.08132879436016083,0.09953203797340393,0.0038572840858250856,0.051216524094343185,0.14650826156139374,0.0,0.16823919117450714,39270.116686582565
56000,35840000,0.0974309891462326,0.11473177373409271,0.004620983265340328,0.07496003806591034,0.19325312972068787,0.0,0.1680150032043457,39982.15251142811
57000,36480000,0.059430547058582306,0.08000191301107407,0.002818688051775098,0.04278464615345001,0.14338797330856323,0.0,0.17660397291183472,40695.08100343309
58000,37120000,0.06508792191743851,0.0809231847524643,0.0030870074406266212,0.04286278039216995,0.12948189675807953,0.0,0.16560222208499908,41407.553200675175
59000,37760000,0.057737261056900024,0.0713513121008873,0.0027383784763514996,0.03616040572524071,0.13465772569179535,0.0,0.1749662607908249,42119.89123409893
60000,38400000,0.0740663930773735,0.09018708765506744,0.003512841183692217,0.05486639589071274,0.14882901310920715,0.0,0.18461132049560547,42832.03203636315
61000,39040000,0.0938548594713211,0.10705986618995667,0.004451373592019081,0.07219623029232025,0.16091197729110718,0.0,0.19844885170459747,43544.83778707124
62000,39680000,0.07952020317316055,0.09147726744413376,0.0037715057842433453,0.0647355318069458,0.13738812506198883,0.0,0.17083890736103058,44256.502371309325
63000,40320000,0.07420073449611664,0.09887751191854477,0.0035192123614251614,0.04872611165046692,0.17997407913208008,0.0,0.18446607887744904,44969.13207102008
64000,40960000,0.06912300735712051,0.0859394297003746,0.0032783846836537123,0.061310045421123505,0.1792030781507492,0.0,0.16354262828826904,45680.76352558192
65000,41600000,0.03883250802755356,0.05093910172581673,0.0018417587270960212,0.026277881115674973,0.13254401087760925,0.0,0.1744905263185501,46392.30136924889
66000,42240000,0.12388748675584793,0.1417306810617447,0.005875769071280956,0.1051633358001709,0.20598655939102173,0.0,0.1925383061170578,47104.68442083802
67000,42880000,0.07542554289102554,0.0936964750289917,0.0035773031413555145,0.05306581035256386,0.14694632589817047,0.0,0.19357769191265106,47816.1068688957
68000,43520000,0.08332669734954834,0.0957321897149086,0.0039520408026874065,0.07329389452934265,0.12840251624584198,0.0,0.1788039356470108,48528.030899366364
69000,44160000,0.04055947810411453,0.054386384785175323,0.0019236658699810505,0.03341681510210037,0.11401709169149399,0.0,0.17382587492465973,49240.144922823645
70000,44800000,0.045474566519260406,0.06155315414071083,0.0021567801013588905,0.031243175268173218,0.12848970293998718,0.0,0.17817457020282745,49951.091641530395
71000,45440000,0.07465013116598129,0.08948314189910889,0.003540526842698455,0.051077939569950104,0.12357828766107559,0.0,0.17540743947029114,50663.755941838026
72000,46080000,0.036068838089704514,0.04751859977841377,0.0017106827581301332,0.026911623775959015,0.1024266853928566,0.0,0.16576410830020905,51375.42148477025
73000,46720000,0.11296200752258301,0.14294445514678955,0.005357592366635799,0.07635528594255447,0.2318718433380127,0.0,0.16704314947128296,52086.995800084434
74000,47360000,0.05838646739721298,0.07599819451570511,0.002769168931990862,0.039580073207616806,0.1467551589012146,0.0,0.17687834799289703,52798.5941213239
75000,48000000,0.08282234519720078,0.09928933531045914,0.003928120248019695,0.0443936362862587,0.14346641302108765,0.0,0.18161112070083618,53509.85321844369
76000,48640000,0.13345076143741608,0.15849505364894867,0.0063293385319411755,0.10605692863464355,0.2060379981994629,0.0,0.17644084990024567,54221.32923553791
77000,49280000,0.0763554573059082,0.09437083452939987,0.0036214073188602924,0.05135682597756386,0.1689206212759018,0.0,0.16982097923755646,54935.351664278656
78000,49920000,0.03402002900838852,0.04533233866095543,0.0016135111218318343,0.02555893547832966,0.09715228527784348,0.0,0.16783837974071503,55647.66464497708
79000,50560000,0.069688580930233,0.08600203692913055,0.0033052091021090746,0.049903713166713715,0.14477063715457916,0.0,0.16398285329341888,56359.39539968502
80000,51200000,0.07113632559776306,0.08395617455244064,0.0033738731872290373,0.08680713176727295,0.16208237409591675,0.0,0.1927756369113922,57071.226949349046
81000,51840000,0.11090344190597534,0.1371355652809143,0.005259958561509848,0.07518982887268066,0.2271449714899063,0.0,0.15171030163764954,57782.831954173744
82000,52480000,0.07425076514482498,0.08857704699039459,0.003521585138514638,0.05031294375658035,0.13621537387371063,0.0,0.17648571729660034,58494.586977864616
83000,53120000,0.0669272243976593,0.07996758818626404,0.0031742423307150602,0.046753380447626114,0.12251090258359909,0.0,0.17871659994125366,59205.66513513215
84000,53760000,0.0593976192176342,0.0819796547293663,0.0028171262238174677,0.03908669203519821,0.15255679190158844,0.0,0.17899274826049805,59918.11475123465
85000,54400000,0.045159004628658295,0.05822843313217163,0.002141813514754176,0.027430478483438492,0.12188068777322769,0.0,0.16883981227874756,60629.93419961259
86000,55040000,0.07819702476263046,0.09039569646120071,0.003708749543875456,0.07364997267723083,0.17049342393875122,0.0,0.16390077769756317,61341.63516754471
87000,55680000,0.06254491955041885,0.07852976024150848,0.0029663974419236183,0.0500914603471756,0.13063140213489532,0.0,0.17390969395637512,62053.66804272495
88000,56320000,0.04497744143009186,0.05478870868682861,0.0021332022733986378,0.03356475755572319,0.10293556749820709,0.0,0.1794244349002838,62765.846078432165
89000,56960000,0.03495045006275177,0.04514732211828232,0.0016576393973082304,0.029315179213881493,0.09746899455785751,0.0,0.17526748776435852,63477.42134150397
90000,57600000,0.047935545444488525,0.0646427720785141,0.0022734999656677246,0.03223176673054695,0.1124749705195427,0.0,0.17537228763103485,64189.05749320425
91000,58240000,0.10223684459924698,0.1225132867693901,0.004848916549235582,0.06764746457338333,0.15054751932621002,0.0,0.173569455742836,64901.08506295737
92000,58880000,0.058874234557151794,0.07132858037948608,0.002792303217574954,0.03334296867251396,0.12386225908994675,0.0,0.17642688751220703,65613.75487997755
93000,59520000,0.03353819251060486,0.04243049770593643,0.0015906584449112415,0.024089407175779343,0.08216696977615356,0.0,0.17348088324069977,66325.25932788942
94000,60160000,0.04106343165040016,0.04807908460497856,0.001947567448951304,0.029438097029924393,0.08785729855298996,0.0,0.1753944605588913,67036.53425701708
95000,60800000,0.056161534041166306,0.07760415226221085,0.0026636444963514805,0.04703205078840256,0.16156016290187836,0.0,0.17802904546260834,67748.14296238776
96000,61440000,0.04473632574081421,0.058831702917814255,0.0021217663306742907,0.03703085333108902,0.12902556359767914,0.0,0.17767015099525452,68459.95175044425
97000,62080000,0.04835939034819603,0.05880407616496086,0.0022936020977795124,0.03262731060385704,0.09667019546031952,0.0,0.17378319799900055,69170.4064760236
98000,62720000,0.0486891083419323,0.0615571103990078,0.0023092401679605246,0.038666971027851105,0.12025655806064606,0.0,0.17473167181015015,69881.36397111043
99000,63360000,0.042150527238845825,0.04855808988213539,0.001999126747250557,0.026685576885938644,0.08368241041898727,0.0,0.17421430349349976,70591.69322313089
100000,64000000,0.08700840920209885,0.09947924315929413,0.004126658197492361,0.06798066943883896,0.1458146870136261,0.0,0.16989216208457947,71302.3724332694
101000,64640000,0.05207416042685509,0.062408920377492905,0.002469787374138832,0.03537615388631821,0.09783590584993362,0.0,0.17817068099975586,72014.17021074612
102000,65280000,0.04930698499083519,0.05808460712432861,0.002338545164093375,0.037233784794807434,0.11596808582544327,0.0,0.16572940349578857,72725.22237510048
103000,65920000,0.033669743686914444,0.04181572049856186,0.001596897724084556,0.025270123034715652,0.09077723324298859,0.0,0.17781637609004974,73435.27157456987
104000,66560000,0.0707070380449295,0.08248346298933029,0.00335351238027215,0.05639681592583656,0.12329096347093582,0.0,0.18147936463356018,74145.76359932031
105000,67200000,0.047208789736032486,0.0603492446243763,0.0022390312515199184,0.036076802760362625,0.10662520676851273,0.0,0.1717291623353958,74857.60134107992
106000,67840000,0.06817743927240372,0.07912386208772659,0.0032335377763956785,0.04250059649348259,0.12377119809389114,0.0,0.1766890287399292,75569.60763515905
107000,68480000,0.045999858528375626,0.056123070418834686,0.002181693911552429,0.03316149115562439,0.1150345429778099,0.0,0.1733333021402359,76280.78032080736
108000,69120000,0.08881425857543945,0.11124788969755173,0.004212306346744299,0.057884640991687775,0.16921170055866241,0.0,0.15845957398414612,76993.08103163633
109000,69760000,0.03407533839344978,0.04343250021338463,0.0016161344246938825,0.024623198434710503,0.07580406963825226,0.0,0.16925053298473358,77704.40416515339
110000,70400000,0.03871674835681915,0.04497683048248291,0.001836268464103341,0.026668472215533257,0.08665445446968079,0.0,0.17469751834869385,78416.57186373044
111000,71040000,0.04850633442401886,0.05702759325504303,0.0023005716502666473,0.035974182188510895,0.0859481692314148,0.0,0.16793137788772583,79127.28860142455
112000,71680000,0.0876927524805069,0.10158251971006393,0.004159115720540285,0.06316850334405899,0.16942285001277924,0.0,0.1731286197900772,79840.6714286143
113000,72320000,0.02864374779164791,0.03706010803580284,0.0013585233828052878,0.0204655509442091,0.0835447907447815,0.0,0.17093807458877563,80554.52303368412
114000,72960000,0.05522675812244415,0.06321431696414948,0.0026193095836788416,0.03456335514783859,0.10764861851930618,0.0,0.1714787781238556,81266.66612925753
115000,73600000,0.03147949278354645,0.03715177997946739,0.001493017771281302,0.029399387538433075,0.07344737648963928,0.0,0.16948767006397247,81978.7433842523
116000,74240000,0.042691390961408615,0.049894340336322784,0.002024778863415122,0.029013749212026596,0.09367580711841583,0.0,0.17126424610614777,82689.819295845
117000,74880000,0.03974328562617302,0.052117884159088135,0.0018849553307518363,0.024205150082707405,0.09345544129610062,0.0,0.16732601821422577,83401.61147748027
118000,75520000,0.028385426849126816,0.03563385084271431,0.0013462716015055776,0.020829452201724052,0.0749155804514885,0.0,0.16955870389938354,84113.2600669954
119000,76160000,0.045827653259038925,0.05529213696718216,0.0021735262125730515,0.030539026483893394,0.08483252674341202,0.0,0.17122158408164978,84825.61999357492
120000,76800000,0.039644598960876465,0.05180102959275246,0.0018802747363224626,0.030125340446829796,0.10069040954113007,0.0,0.1723901331424713,85537.12332291249
121000,77440000,0.044459763914346695,0.0523512102663517,0.00210864981636405,0.030712172389030457,0.082406185567379,0.0,0.17554397881031036,86250.82057767734
122000,78080000,0.0565125048160553,0.06830703467130661,0.0026802902575582266,0.03834107518196106,0.1017853245139122,0.0,0.1689857393503189,86963.01378517039
123000,78720000,0.05597320944070816,0.06345605850219727,0.002654712414368987,0.042004525661468506,0.09660141915082932,0.0,0.17518334090709686,87674.4952605823
124000,79360000,0.02052840031683445,0.02598446048796177,0.0009736265637911856,0.016278428956866264,0.06549600511789322,0.0,0.17350737750530243,88386.8507448202
125000,80000000,0.04163039103150368,0.05295511707663536,0.001974457409232855,0.02682051807641983,0.09174537658691406,0.0,0.17403793334960938,89099.49048095103
126000,80640000,0.018796591088175774,0.02364683896303177,0.0008914898498915136,0.0165057722479105,0.07163576781749725,0.0,0.16778120398521423,89810.93957515154
127000,81280000,0.022550197318196297,0.026861531659960747,0.0010695168748497963,0.01618165709078312,0.0737830251455307,0.0,0.1745191067457199,90524.77932622656
128000,81920000,0.07858466356992722,0.09055662900209427,0.0037271345499902964,0.052083343267440796,0.1408054083585739,0.0,0.17261461913585663,91234.55767007638
129000,82560000,0.06308247894048691,0.07010474056005478,0.0029918928630650043,0.046440593898296356,0.10737035423517227,0.0,0.17197243869304657,91946.18338471465
130000,83200000,0.036845751106739044,0.04195324331521988,0.001747530186548829,0.029014937579631805,0.08284515142440796,0.0,0.1712293028831482,92657.25896910857
131000,83840000,0.03228698670864105,0.03676512464880943,0.0015313158510252833,0.02950647473335266,0.07226019352674484,0.0,0.1739455759525299,93370.26345387753
132000,84480000,0.02536727301776409,0.03226856142282486,0.0012031258083879948,0.016593635082244873,0.07794872671365738,0.0,0.17700375616550446,94082.16558890045
133000,85120000,0.028391433879733086,0.03485598415136337,0.00134655658621341,0.02087506465613842,0.07860054075717926,0.0,0.16751572489738464,94792.60008146893
134000,85760000,0.03415260463953018,0.0423847958445549,0.0016197989461943507,0.024258818477392197,0.09019804000854492,0.0,0.17200320959091187,95505.32574593928
135000,86400000,0.03815450891852379,0.04707413166761398,0.0018096022540703416,0.030677858740091324,0.11301527172327042,0.0,0.16852247714996338,96216.42538088653
136000,87040000,0.031940244138240814,0.037716735154390335,0.0015148705570027232,0.031070785596966743,0.07940112054347992,0.0,0.16448210179805756,96929.61772075761
137000,87680000,0.04196176677942276,0.05326477810740471,0.0019901739433407784,0.024443235248327255,0.08549892902374268,0.0,0.17342153191566467,97642.1227593096
138000,88320000,0.031243199482560158,0.0383467823266983,0.0014818109339103103,0.019123166799545288,0.08157705515623093,0.0,0.17843246459960938,98354.79977045022
139000,88960000,0.03382059559226036,0.03762202709913254,0.001604052260518074,0.02407768741250038,0.08103563636541367,0.0,0.17226430773735046,99067.23153934255
140000,89600000,0.02381640300154686,0.03261502459645271,0.001129570766352117,0.018413200974464417,0.07681576162576675,0.0,0.17330311238765717,99777.0593130095
141000,90240000,0.020500894635915756,0.026014138013124466,0.0009723219554871321,0.01820221170783043,0.07150232046842575,0.0,0.1758638471364975,100489.7740540402
142000,90880000,0.03361756354570389,0.04016606882214546,0.0015944228507578373,0.030907949432730675,0.07261063158512115,0.0,0.17789115011692047,101200.65531568043
143000,91520000,0.04725199565291405,0.051314253360033035,0.002241080394014716,0.04218174144625664,0.08542050421237946,0.0,0.1769232302904129,101912.56505168416
144000,92160000,0.04816819727420807,0.05884742736816406,0.002284534042701125,0.03596534952521324,0.09844763576984406,0.0,0.17650355398654938,102624.71212183312
145000,92800000,0.04858275130391121,0.05677339434623718,0.0023041958920657635,0.02776016853749752,0.08759630471467972,0.0,0.17695622146129608,103335.74748050515
146000,93440000,0.033602871000766754,0.03726186975836754,0.001593726105056703,0.0261793565005064,0.08322837948799133,0.0,0.17491942644119263,104047.47094869707
147000,94080000,0.037741851061582565,0.045163702219724655,0.001790030742995441,0.02101856842637062,0.07494322210550308,0.0,0.17663487792015076,104757.88328175619
148000,94720000,0.04669678583741188,0.05489400401711464,0.002214747713878751,0.035654790699481964,0.10365436971187592,0.0,0.1697070449590683,105471.74703324493
149000,95360000,0.03319285437464714,0.04530983790755272,0.0015742797404527664,0.02265000343322754,0.10630813241004944,0.0,0.1711788773536682,106185.5673113633
150000,96000000,0.0461302176117897,0.05279092490673065,0.002187876496464014,0.03410987928509712,0.084314726293087,0.0,0.17746606469154358,106897.40409217589
151000,96640000,0.04453910142183304,0.05472560599446297,0.00211241259239614,0.02905641496181488,0.10344240814447403,0.0,0.17165587842464447,107609.04823073372
